time,Open,High,Low,Close,Volume
2026-08-20 09:00:00,55300,55500,53200,53600,7168
2026-08-20 09:05:00,53700,54100,53400,53600,3623
2026-08-20 09:10:00,53600,53800,53500,53600,2131
2026-08-20 09:15:00,53600,54200,53400,54200,3151
2026-08-20 09:20:00,54200,54500,54000,54400,1382
2026-08-20 09:25:00,54400,54700,54400,54500,2580
2026-08-20 09:30:00,54400,54800,54400,54500,893
2026-08-20 09:35:00,54500,54900,54500,54900,937
2026-08-20 09:40:00,54900,54900,54700,54700,940
2026-08-20 09:45:00,54600,54700,54400,54500,879
2026-08-20 09:50:00,54400,54700,54400,54600,882
2026-08-20 09:55:00,54700,54800,54600,54800,376
2026-08-20 10:00:00,54800,54900,54800,54800,905
2026-08-20 10:05:00,54900,54900,54800,54900,413
2026-08-20 10:10:00,54900,54900,54800,54900,506
2026-08-20 10:15:00,54900,54900,54700,54800,1166
2026-08-20 10:20:00,54800,54800,54700,54800,752
2026-08-20 10:25:00,54800,54900,54700,54800,442
2026-08-20 10:30:00,54900,55000,54800,55000,1146
2026-08-20 10:35:00,55000,55000,54800,55000,666
2026-08-20 10:40:00,55000,55400,55000,55300,874
2026-08-20 10:45:00,55300,55400,55200,55300,360
2026-08-20 10:50:00,55400,55400,55000,55300,1404
2026-08-20 10:55:00,55200,55200,55000,55100,570
2026-08-20 11:00:00,55100,55100,54900,55000,1017
2026-08-20 11:05:00,54900,55000,54800,54800,770
2026-08-20 11:10:00,54800,54800,54700,54800,2310
2026-08-20 11:15:00,54700,54800,54600,54600,722
2026-08-20 11:20:00,54600,54700,54400,54500,1370
2026-08-20 11:25:00,54500,54600,54400,54500,874
2026-08-20 11:30:00,54500,54500,54400,54400,203
